feature,importance
unemp_chg,0.13026258
q_sin,0.09235258
real_rate,0.09174711
rent_ret_lag_4,0.08505737
price_momentum_4q,0.060689773
price_ret,0.05996366
gdp_growth,0.054523095
price_roll_mean_4,0.050862707
long_rate_chg,0.043631945
price_ret_lag_4,0.04044975
price_to_rent_chg,0.03905357
price_roll_vol_4,0.03289691
price_ret_lag_2,0.032361362
price_ret_lag_1,0.030238152
q_cos,0.029917974
rent_ret_lag_1,0.029484468
inflation_yoy,0.026184356
pop_growth_yoy,0.02592462
rent_ret,0.023884535
rent_ret_lag_2,0.020513453
